Date,Contract,Price,Position,New Trade Action,Pnl Daily
19/08/2019,OCT 19,27894.51,-2,0,-29747.68
20/08/2019,NOV 19,27874.33,-2,0,-30696.42
21/08/2019,NOV 19,27611.91,-2,0,-31041.6
22/08/2019,NOV 19,27586.67,-2,0,-32079.18
23/08/2019,NOV 19,27288.93,-2,3,-33165.18
27/08/2019,NOV 19,27160.75,1,2,16642.14
28/08/2019,NOV 19,27160.75,3,0,49684.17
29/08/2019,NOV 19,27206.16,3,0,49911.3
30/08/2019,NOV 19,27768.35,3,-4,49314.78
02/09/2019,NOV 19,28222.54,-1,-1,-15331.05
03/09/2019,NOV 19,28132.71,-2,3,-29483.24
04/09/2019,NOV 19,28626.26,1,1,14937.42
05/09/2019,NOV 19,28871.52,2,-3,28760.58
06/09/2019,NOV 19,28802.89,-1,0,-14268.25
09/09/2019,NOV 19,28722.14,-1,0,-14157.23
10/09/2019,NOV 19,28843.26,-1,0,-14289.45
11/09/2019,NOV 19,29206.61,-1,2,-13725.25
12/09/2019,NOV 19,28553.59,1,0,14351.01
13/09/2019,NOV 19,27874.33,1,-2,15060.55
16/09/2019,NOV 19,28563.68,-1,0,-14140.07
17/09/2019,DEC 19,28251.81,-1,-1,-14279.35
18/09/2019,DEC 19,28071.14,-2,0,-28508.24
19/09/2019,DEC 19,27879.37,-2,0,-29551.88
20/09/2019,DEC 19,28132.71,-2,0,-29650.78
23/09/2019,DEC 19,27931.86,-2,0,-29895.02
24/09/2019,DEC 19,27904.6,-2,0,-29945.5
25/09/2019,DEC 19,27934.88,-2,0,-29596.28
26/09/2019,DEC 19,27703.75,-2,0,-30193.8
27/09/2019,DEC 19,27531.16,-2,0,-30635.86
30/09/2019,DEC 19,27325.26,-2,0,-31059.78
01/10/2019,DEC 19,27655.31,-2,0,-30545.02
02/10/2019,DEC 19,27958.1,-2,0,-29939.44
03/10/2019,DEC 19,27879.37,-2,0,-30403.72
04/10/2019,DEC 19,27877.35,-2,1,-30807.46
07/10/2019,DEC 19,27733.02,-1,0,-15825.62
08/10/2019,DEC 19,27800.65,-1,0,-15555.11
09/10/2019,DEC 19,27849.09,-1,0,-15330.05
10/10/2019,DEC 19,27855.15,-1,0,-15397.67
11/10/2019,DEC 19,27927.82,-1,0,-15022.2
14/10/2019,DEC 19,27927.82,-1,0,-15254.34
15/10/2019,JAN 20,28081.23,-1,0,-14998.99
16/10/2019,JAN 20,28281.08,-1,0,-14850.11
17/10/2019,JAN 20,28558.64,-1,0,-14704.27
18/10/2019,JAN 20,28355.76,-1,2,-14851.64
21/10/2019,JAN 20,28179.14,1,0,14750.7
22/10/2019,JAN 20,28252.82,1,0,14671.97
23/10/2019,JAN 20,27950.02,1,0,14874.85
24/10/2019,JAN 20,28182.16,1,0,14673.49
25/10/2019,JAN 20,28080.22,1,0,14889.99
28/10/2019,JAN 20,28131.19,1,-2,14849.11
29/10/2019,JAN 20,28262.91,-1,0,-14843.56
30/10/2019,JAN 20,28207.4,-1,-1,-14773.91
31/10/2019,JAN 20,27929.84,-2,0,-29630.58
01/11/2019,JAN 20,27924.79,-2,0,-28956.38
04/11/2019,JAN 20,27824.87,-2,0,-29559.94
05/11/2019,JAN 20,27855.65,-2,0,-29290.46
06/11/2019,JAN 20,27970.21,-2,0,-28984.64
07/11/2019,JAN 20,27980.3,-2,0,-28829.2
08/11/2019,JAN 20,28106.47,-2,0,-28645.5
11/11/2019,JAN 20,27981.31,-2,0,-29638.68
12/11/2019,JAN 20,27745.13,-2,0,-30010.1
13/11/2019,JAN 20,27402.98,-2,0,-30938.66
14/11/2019,JAN 20,27604.84,-2,0,-30244.26
15/11/2019,JAN 20,27500.88,-2,0,-30605.58
18/11/2019,JAN 20,27462.53,-2,0,-30724.68
19/11/2019,FEB 20,27394.9,-2,0,-31019.4
20/11/2019,FEB 20,27429.22,-2,0,-30940.68
21/11/2019,FEB 20,27800.65,-2,0,-30722.66
22/11/2019,FEB 20,27750.18,-2,0,-30823.6
25/11/2019,FEB 20,27872.31,-2,0,-30680.26
26/11/2019,FEB 20,27726.97,-2,0,-31526.06
27/11/2019,FEB 20,27803.67,-2,0,-31483.68
28/11/2019,FEB 20,27824.87,-2,0,-31976.22
29/11/2019,FEB 20,27904.6,-2,3,-31600.76
02/12/2019,FEB 20,27899.56,1,0,15765.05
03/12/2019,FEB 20,28161.98,1,0,15474.37
04/12/2019,FEB 20,28161.98,1,0,15428.95
05/12/2019,FEB 20,28212.44,1,0,15519.8
06/12/2019,FEB 20,28490,1,0,15211.96
09/12/2019,FEB 20,28545.51,1,0,15247.28
10/12/2019,FEB 20,28812.98,1,-2,14740.61
11/12/2019,FEB 20,28704.98,-1,0,-14169.35
12/12/2019,FEB 20,28664.61,-1,2,-14899.07
13/12/2019,FEB 20,28636.35,1,0,14615.46
16/12/2019,FEB 20,28590.93,1,1,14480.21
