Date,Contract,Price,Position,New Trade Action,Pnl Daily
24/04/2019,JUL 19,30183.22,7,0,4220.65
25/04/2019,JUL 19,30304.7,7,0,3193.68
26/04/2019,JUL 19,30416.05,7,1,1736
29/04/2019,JUL 19,30142.73,8,-3,141.36
30/04/2019,JUL 19,30137.67,5,-1,391.25
01/05/2019,JUL 19,30036.44,4,4,455.48
02/05/2019,JUL 19,29751.98,8,-1,6739.44
03/05/2019,JUL 19,29802.6,7,1,5189.38
07/05/2019,JUL 19,29878.52,8,0,6009.68
08/05/2019,JUL 19,29901.8,8,0,6493.6
09/05/2019,JUL 19,29734.78,8,0,7522.96
10/05/2019,JUL 19,30104.26,8,-3,4728.64
13/05/2019,JUL 19,29805.64,5,0,4049.8
14/05/2019,AUG 19,30230.8,5,-1,2776.85
15/05/2019,AUG 19,30276.36,4,0,2241.12
16/05/2019,AUG 19,29901.8,4,0,3113.6
17/05/2019,AUG 19,29932.17,4,3,1990.88
20/05/2019,AUG 19,29891.68,7,1,4919.11
21/05/2019,AUG 19,29922.05,8,-4,3279.52
22/05/2019,AUG 19,29772.23,4,0,3369.44
23/05/2019,AUG 19,29774.25,4,0,2735.6
24/05/2019,AUG 19,29749.96,4,0,3034.64
28/05/2019,AUG 19,29658.85,4,0,3298.12
29/05/2019,AUG 19,29172.95,4,0,4135.52
30/05/2019,AUG 19,29243.81,4,0,4138.72
31/05/2019,AUG 19,29183.07,4,0,4292.88
03/06/2019,AUG 19,29618.36,4,0,2846.44
04/06/2019,AUG 19,29562.68,4,0,-1771.48
05/06/2019,AUG 19,29653.79,4,0,330.84
06/06/2019,AUG 19,29730.73,4,0,204.72
07/06/2019,AUG 19,29704.41,4,0,310
10/06/2019,AUG 19,29719.59,4,0,814.52
11/06/2019,AUG 19,29633.55,4,0,68.6
12/06/2019,AUG 19,29775.27,4,0,-639.56
13/06/2019,AUG 19,29825.88,4,0,-236.4
14/06/2019,AUG 19,29679.1,4,4,-234.68
17/06/2019,AUG 19,29428.05,8,-1,-883.36
18/06/2019,SEP 19,29613.3,7,1,-1398.46
19/06/2019,SEP 19,29342,8,0,6.96
20/06/2019,SEP 19,29623.42,8,0,-2890.4
21/06/2019,SEP 19,29471.58,8,0,-2039.04
24/06/2019,SEP 19,29537.38,8,-3,-1717.6
25/06/2019,SEP 19,29512.07,5,0,-2082.4
26/06/2019,SEP 19,29248.87,5,-1,545.7
27/06/2019,SEP 19,29320.74,4,0,-173.92
28/06/2019,SEP 19,29288.35,4,0,-851.8
01/07/2019,SEP 19,29365.29,4,3,-1381.6
02/07/2019,SEP 19,28155.59,7,1,4990.3
03/07/2019,SEP 19,28773.09,8,0,-326.8
04/07/2019,SEP 19,28808.52,8,0,-489.12
05/07/2019,SEP 19,28808.52,8,0,-3315.2
08/07/2019,SEP 19,28965.43,8,0,-5176.08
09/07/2019,SEP 19,28687.04,8,0,-2181.92
10/07/2019,SEP 19,28661.74,8,0,-3917.36
11/07/2019,SEP 19,28813.58,8,0,-4365.04
12/07/2019,SEP 19,28666.8,8,0,-2746.64
15/07/2019,SEP 19,28363.11,8,0,-922.72
16/07/2019,OCT 19,28454.22,8,0,609.2
17/07/2019,OCT 19,28383.35,8,0,1402.32
18/07/2019,OCT 19,28307.43,8,0,2146.88
19/07/2019,OCT 19,28261.88,8,0,-2091.12
22/07/2019,OCT 19,28365.13,8,0,-3764.96
23/07/2019,OCT 19,28137.37,8,0,-2104.32
24/07/2019,OCT 19,28388.42,8,0,-560
25/07/2019,OCT 19,28312.49,8,0,814.48
26/07/2019,OCT 19,28104.97,8,0,536.8
29/07/2019,OCT 19,28049.3,8,0,1749.2
30/07/2019,OCT 19,27902.51,8,0,3367.68
31/07/2019,OCT 19,27765.85,8,-3,3855.36
01/08/2019,OCT 19,27775.97,5,-1,3772
02/08/2019,OCT 19,27426.73,4,0,4527.64
05/08/2019,OCT 19,27350.81,4,0,4899.92
06/08/2019,OCT 19,27446.98,4,0,2214.04
07/08/2019,OCT 19,27198.96,4,0,2782.2
08/08/2019,OCT 19,27295.13,4,0,2316.8
09/08/2019,OCT 19,27335.62,4,0,1105.16
